file_name,class
2023_03_04_22_22_46.631963 n.png,0
2023_03_04_22_22_46.662686 n.png,0
2023_03_04_22_22_46.701830 n.png,0
2023_03_04_22_22_46.731943 n.png,0
2023_03_04_22_22_46.762889 n.png,0
2023_03_04_22_22_46.801816 n.png,0
2023_03_04_22_22_46.832976 n.png,0
2023_03_04_22_22_46.868776 n.png,0
2023_03_04_22_22_46.901838 n.png,0
2023_03_04_22_22_46.935359 n.png,0
2023_03_04_22_22_46.969163 n.png,0
2023_03_04_22_22_47.001843 n.png,0
2023_03_04_22_22_47.035625 n.png,0
2023_03_04_22_22_47.068929 right.png,3
2023_03_04_22_22_47.105730 right.png,3
2023_03_04_22_22_47.138919 right.png,3
2023_03_04_22_22_47.168890 n.png,0
2023_03_04_22_22_47.201650 n.png,0
2023_03_04_22_22_47.235056 n.png,0
2023_03_04_22_22_47.269946 n.png,0
2023_03_04_22_22_47.301986 n.png,0
2023_03_04_22_22_47.335707 n.png,0
2023_03_04_22_22_47.368699 n.png,0
2023_03_04_22_22_47.403028 n.png,0
2023_03_04_22_22_47.435583 n.png,0
2023_03_04_22_22_47.468599 n.png,0
2023_03_04_22_22_47.502757 n.png,0
2023_03_04_22_22_47.536612 n.png,0
2023_03_04_22_22_47.568935 n.png,0
2023_03_04_22_22_47.601724 n.png,0
2023_03_04_22_22_47.635755 n.png,0
2023_03_04_22_22_47.663508 n.png,0
2023_03_04_22_22_47.701550 n.png,0
2023_03_04_22_22_47.735136 n.png,0
2023_03_04_22_22_47.767805 n.png,0
2023_03_04_22_22_47.801754 n.png,0
2023_03_04_22_22_47.833171 n.png,0
2023_03_04_22_22_47.862635 n.png,0
2023_03_04_22_22_47.903078 n.png,0
2023_03_04_22_22_47.936224 n.png,0
2023_03_04_22_22_47.967936 n.png,0
2023_03_04_22_22_48.003161 n.png,0
2023_03_04_22_22_48.035642 n.png,0
2023_03_04_22_22_48.068943 n.png,0
2023_03_04_22_22_48.101548 n.png,0
2023_03_04_22_22_48.135581 n.png,0
2023_03_04_22_22_48.168768 n.png,0
2023_03_04_22_22_48.201841 n.png,0
2023_03_04_22_22_48.235612 n.png,0
2023_03_04_22_22_48.268517 n.png,0
2023_03_04_22_22_48.302792 n.png,0
2023_03_04_22_22_48.335338 n.png,0
2023_03_04_22_22_48.368813 n.png,0
2023_03_04_22_22_48.402438 n.png,0
2023_03_04_22_22_48.435739 n.png,0
2023_03_04_22_22_48.469924 n.png,0
2023_03_04_22_22_48.502659 n.png,0
